"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Bahrain","BHR",0.95,0.14,6.5,5.14,2.68,19.91,31.76,0.67,37.83,0.12,37.2,0.01,46.75,41.38,40.48,6.56,29.74,0.01,0.01,10.66,0.01,0.01,0.18,54.72,44.71,37.69,28.08,21.5,0.01,0.01,48.31,41.51,74.2,10.16,71.8,16.15,0.01,0.01,0.01,0.01,44.16,49.5,51.39,35.61,38.71,32.18,50.93,39.47,1.09,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,59.3,54651.27,84.08,2.42813,33.71,482.66,42.01,0.02144,20.84,0.05,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,29.84,173308.44,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,48.87,325674.09,61.27,14.46952,39.43,77.47,50.7,12.59,48.02,9.5,29.59,16.3,29.59,44327.97,26.65,13500.44,32.07,0,14.41,-3980.6,0.01,100,0.01,100,0.01,100,0.01,100,50.46,85.91,46.26,1157.93,30.32,7.21,56.82,118.12,74.49,67.35,73.91,360.38,29.14,23.12,11.44,3.35,0.68732,17.26,360,15.11,0.02,0.01,0,0.01,0,0.01,0,0.01,0,28.68,16.89,36.82,17841.49,41.83,4547.79,43.35,667.59,0.01,0,0.01,0,0.01,0,0.01,0,45.78,-0.01022,42.59,0.29876,62.58,-0.66152,39.15,0.49438,51.86,134.77,50.93,313.93,53.74,185.08,23.6,5201,39.43,14.86,38.01,7.1,18.45,2599,36.82,88.35,49.07,97.6,77.41,0.06,43.59,4.03,39.15,60.32,39.15,21.22,44.58,1137.72,35.24,183.4,11.22,98,11.5,98,0.01,99,20.45,13689.94,43.24,2.3
"Bangladesh","BGD",27.9,16.57,46.97,36.81,59.18,47.58,56.01,45.65,47.69,14.72,37.63,49.62,64.03,65.24,61.9,29.86,58.28,3.14,50.52,56.58,89.02,3.01,3.26,43.67,50.72,61.22,57.18,55.42,39.44,40.91,53.86,49.96,40.23,36.2,74.49,67.47,77.53,0.61,65.89,37.37,64.82,63.25,69.18,67.14,59.77,62.78,61.04,59.78,14.92,73.42,565309.69,56.54,0.34284,63.87,74664.19,36.05,0.04528,0.01,0,0.01,0,59.69,3231.82,30.39,0.00196,66.71,2984.01,41.03,0.00181,70.82,2267.74,47.28,0.00138,65.48,105612.2,44.76,0.06405,65.14,77396.17,48.3,0.04694,67.02,52138.1,53.09,0.03162,86.05,12483053.25,86.05,7.57046,86.05,10468188.78,100,6.34853,86.05,6837754.44,90.76,4.14682,66.71,613469.83,49.4,0.37204,56.4,7216.51,39.74,0.00438,0.01,0,0.01,0,79.62,12338533.67,70.16,7.48282,60.33,320917.48,35.85,0.19462,0.01,0,0.01,0,62.03,1056915.53,30.75,0.64098,52.56,72.99,48.95,12.91,62.43,6.2,60.03,11.6,60.03,5313.02,54.46,1858,50,73.41,61.42,339.45,28.41,97.7,54.76,54.16,33.21,92.2,50.39,23,53.51,49.59,54.22,1015.49,40.04,9.7,62.34,114,41.04,53.2,39.43,142.83,50.46,39.33,44.82,7.68,0.69058,83.97,2205014,54.22,1.34,90.15,4442879,66.67,2.7,37.27,200,0.01,0,15.96,5.22,29.59,12917.48,70.41,39169.65,60.3,1431.32,80.42,6103237.4,53.98,3.776,39.78,18,35.11,1.2e-05,66.81,-0.99381,62.88,-0.73923,67.55,-0.91817,59.22,-0.63631,58.69,63.7,81.55,39.2,69.97,83.7,64.43,1.3,61.42,168.56,58.17,30.2,62.58,1.26,70.41,30.99,56.16,92.75,59.11,0.78,68.52,0.33,56.16,22.83,59.49,680.69,62.28,2967.38,57.66,2819.95,11.22,98,11.5,98,25.75,93,56.41,1602.85,60.21,5.6
"Barbados","BRB",2.06,0.48,8.88,6.32,2.48,44.63,40.41,4.18,40.42,0.03,49.25,0.01,34.64,44.11,38.86,45.37,50.43,0.15,34.62,0.01,0.01,2.69,0.14,28.67,29.38,38.79,54.9,42.62,25.89,0.01,35.64,33.09,44.07,41.04,36.51,0.3,0.01,0.01,0.01,0.01,32.76,36.63,57.83,32.41,45.78,43.35,34.83,45.25,45.49,20.69,592.2,49.05,0.20963,0.01,0,0.01,0,0.01,0,0.01,0,24.01,25.45,45.63,0.00901,31.9,19.39,49.26,0.00686,28.51,1.21,35.1,0.00043,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.63,1977.43,54.23,0.7,41.71,282.49,49.79,0.1,0.01,0,0.01,0,18.47,18216.47,46.33,6.44854,0.01,0,0.01,0,0.01,0,0.01,0,20.34,5136.45,40.41,1.81827,34.24,79.37,25.21,16.66,41.57,10.6,36.2,15.4,49.3,13012.95,61.13,1300.69,32.07,0,56.65,191.42,25.36,98.51,26.43,98.09,0.01,100,0.01,100,27.18,372.11,46.73,1147.39,19.49,4.1,56.19,119,48.6,55.79,39.97,143.8,35.41,25.19,66.46,25.1,0.64645,9.17,5,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,61.7,506.24,51.63,23753.43,43.1,5540.11,42.84,660.99,0.01,0,0.01,0,0.01,0,0.01,0,29.14,1.26171,36.82,0.63142,32.07,0.94173,41.83,0.35703,46.26,229.89,72.3,50.9,26.09,565.59,40.25,526.69,46.26,33.98,45.3,12.2,44.82,135.77,45.78,69.55,39.7,101.78,48.51,2.37,24.27,22.21,35.89,66.77,47.67,88.59,44.09,1125.17,44.09,588.63,45.83,85,44.12,85,46.55,78,52.33,2332.52,48.6,2.9
"Belarus","BLR",0.83,0.05,13.83,8.08,9.03,36.27,43.59,4.06,34.98,0.14,39.76,0.58,51.51,24.67,41.47,22.88,50.28,0.01,0.01,0.01,44.17,0.01,0.18,0.01,48.02,32.85,42.57,53.77,30.57,0.42,35.71,0.59,21.72,38.87,50.7,30.46,0.01,0.01,34.05,0.01,49.45,53.65,29.95,20.15,24.88,40.2,42.77,37.3,14.04,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,39.12,117341.25,47.4,1.27965,39.45,106088.05,48.2,1.15693,41.16,86140.75,51.16,0.93939,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,44.05,694513.94,75.91,7.57391,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.44,74.98,48.6,12.97,29.81,12.3,36.2,15.4,43.59,19324.42,41.57,5679.22,48.6,66.85,59.49,268.68,33.08,96.53,28.25,97.9,0.01,100,17.93,98.9,29.59,341.36,43.1,1234.6,0.01,2.5,34.62,135,22.13,43.13,21.32,81.44,36.82,25.66,63.8,23.19,0.6582,32.24,9340,28.77,0.1,0.01,0,0.01,0,0.01,0,0.01,0,50.7,179.43,41.31,19760.07,33.54,534.08,35.57,527.04,36.21,20107.8,32.02,0.212,0.01,0,0.01,0,46.73,-0.05954,52.33,-0.18333,45.78,0.28913,62.88,-0.79446,31.28,398.5,28.68,955.09,10.16,871.46,39.97,535.69,24.27,4.86,25.51,3.4,44.58,144.59,36.2,91.05,40.25,101.66,67.9,0.24,46.26,2.89,24.91,86.6,31.28,7.95,53.03,1788.71,31.28,139.93,17.12,97,17.55,97,9.22,98,42.59,5006.48,59.37,5.5
"Belgium","BEL",4.16,1.84,9.39,4.56,7.6,23.91,26.38,0.5,35,0.17,25.24,0.58,31.98,23.7,25.41,23.45,22.95,1.98,0.01,75.57,42.01,0.01,2.63,43.83,28.2,14.56,25.49,46.29,0.42,0.01,36.6,0.4,27.44,54.94,28.44,47.53,0.01,0.01,0.01,33.63,29.26,34.95,21,23.24,27.29,17.4,37.12,32.55,16.9,33.1,9342.08,36.33,0.08051,23.84,392.9,21.19,0.00339,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,66.75,135760.34,80.33,1.16997,67.8,113404.47,84,0.97731,68.55,70214.88,89,0.6051,41.16,137990.17,45.1,1.18918,40.47,113936.95,45.1,0.98189,38.12,73719.46,42.56,0.6353,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,46,767982.28,49.46,6.61837,36.6,39173.96,39.69,0.3376,0.01,0,0.01,0,45.84,251914.63,41.9,2.17097,28.2,81.86,28.2,16.52,31.48,12.1,6.73,19.8,24.91,55374.7,26.09,13839.16,32.07,0,66.81,677.36,0.01,100,17.41,99.49,0.01,100,0.01,100,24.27,399.57,55.18,1001.79,0.01,2.5,15.88,149,27.18,44.95,27.7,93.97,38.58,26.74,72.3,30.22,0.63969,47.22,96482,47.84,0.83,0.01,0,0.01,0,0.01,0,0.01,0,52.1,208.54,22.89,11330.82,15.96,121.73,21.32,267.69,0.01,0,0.01,0,32.73,1,34.56,1e-05,26.09,1.55196,32.82,1.03223,42.59,0.48119,28.68,1.36372,17.28,595.6,25.51,1059.8,27.7,558,19.49,6414.25,26.65,5.12,27.95,3.7,17.28,3108.08,30.03,101.98,10.16,128.71,53.74,1.23,33.19,9.93,28.68,80.14,35.24,11.56,31.68,487.04,30.88,139.66,11.22,98,11.5,98,37.44,85,24.91,12406.91,21.14,0.4
"Belize","BLZ",7.65,2.5,23.41,27.58,12.24,38.01,52.04,39.06,52.75,2.66,55.93,0.65,55.15,51.18,49.48,46.66,23.79,2.12,0.13,6.19,20.39,2.77,0.16,39.7,42.67,47.95,61.48,58.32,32.76,32.29,59.06,37.27,51.42,44.09,64.76,39.6,47.73,0.01,42.43,0.01,55.03,55.28,53.74,52.62,47.41,48.54,50.43,47.65,45.69,24.44,1148.03,53.37,0.279,20,177.18,34.56,0.04306,0.01,0,0.01,0,17.98,2.27,24.28,0.00055,0.01,0,0.01,0,0.01,0,0.01,0,21.29,11.58,27.5,0.00281,19.78,3.63,24.18,0.00088,20.09,0.02,0.01,0,14.46,1869.56,28.13,0.45435,14.46,1630.14,28.46,0.39616,15.26,1146.66,28.13,0.27867,36.1,3101.37,58.92,0.75371,44.54,392.42,47.65,0.09537,0.01,0,0.01,0,19.87,31682.03,90.64,7.69951,0.01,0,0.01,0,0.01,0,0.01,0,28.43,28640.06,55.43,6.96023,47.9,74.78,38.01,15.06,45.78,9.9,50.23,13.1,58.96,5875.5,64.11,1016.19,56.16,143.58,60.57,286.53,25.85,98.4,41.52,88.21,32.79,92.72,31.79,82.4,51.63,75.83,67.55,653.05,26.32,5.9,52.77,121,60.3,60.45,43.84,151.91,53.98,44.38,44.58,7.61,0.67169,28.56,5668,54.91,1.43,35.47,6300,64.22,1.58,0.01,0,0.01,0,63.8,648.08,56.41,25764.86,49.07,9661.04,55.42,1151.76,33.67,14071,53.47,3.58,0.01,0,0.01,0,49.77,-0.19602,60.85,-0.6767,48.84,0.06982,62.58,-0.77551,53.98,107.8,53.51,234.1,61.13,121.57,45.3,211.6,48.84,44.96,46.02,13,42.34,188.97,53.03,56.57,50.93,96.38,59.63,0.74,39.15,7.21,54.94,25.6,52.8,201.22,39.15,830.08,52.33,1419.2,52.59,79,51.14,79,35.46,87,59.75,1167.85,9.47,0.1
"Benin","BEN",1.61,0.09,28.66,30.63,12.41,61.96,62.17,57.52,63.55,1.85,64.13,0.43,56.1,79.28,60.36,68.97,57.13,0.01,0.03,0.01,48.53,0.01,2.82,0.01,66.41,65.07,66.63,51.88,67.15,62.56,65.97,39.49,70.99,73.35,49.3,18.63,34.01,0.01,18.92,0.01,54.33,57.93,86.21,76.26,75.78,67.05,54.33,77.13,61.67,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.89,0.24,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,44.73,200760.84,52.05,1.54387,45.1,173467.56,52.51,1.33398,45.1,130254.87,52.51,1.00167,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.29,958975.95,67.19,7.3746,37.74,46995.42,40.9,0.3614,0.01,0,0.01,0,0.01,0,0.01,0,71.8,62.24,61.42,10.79,76.06,3.8,55.67,12.6,66.81,3469.19,66.46,744.18,55.91,143.37,48.14,30.83,59.89,65.41,75.28,16.96,58.75,40.32,66.61,4,70.86,2.12,61.42,877.02,31.83,7.6,49,124,70.19,63.97,71.8,342.19,73.35,76.57,37.72,5.99,0.65728,22.96,1860,15.11,0.02,36.56,7020,31.64,0.06,0.01,0,0.01,0,62.58,556.34,47.67,22122.37,81.55,48099.88,69.54,1955.68,21.34,1400,16.78,0.012,0.01,0,0.01,0,52.56,-0.32376,56.16,-0.44065,56.16,-0.34786,59.75,-0.66413,89.84,6.5,82.72,30.3,77.11,57.93,75.41,0.15,71.32,377.12,80.51,93,69.33,0.22,66.81,34.47,65.09,81.23,41.42,4.74,59.49,0.74,65.09,12.52,73.91,3560.21,77.11,5247.28,80.51,14265.72,60.93,72,59.69,73,64.5,53,65.76,883.65,49.63,3
"Bhutan","BTN",1.09,0.1,11.91,14.27,2.62,45.15,56.33,15.98,40.6,0.43,37.66,0.01,30.9,57.93,49.23,38.12,49.05,2.01,0.01,0.01,23.98,0.01,0.16,0.01,47.22,61.29,51.96,66.95,38.7,0.58,59.23,49.05,49.09,31.28,43.59,0.36,22.04,0.01,0.01,0.01,32.76,29.15,58.71,56.04,59.1,53.5,45.31,56.99,25.5,26.73,2463.48,53.82,0.28559,18.93,70.52,23.98,0.00818,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.81,4269.66,29.74,0.49499,17.19,4247.03,32.29,0.49236,18.31,4187.27,37.46,0.48543,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,23.62,65718.42,79.86,7.6188,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,53.98,72.22,41.31,14.55,73.08,4.1,51.4,13,53.51,10481.83,50.46,2387.02,80.51,884.1,55.67,169.35,30.29,97.31,49.44,76.51,0.01,100,33.44,79.1,60.85,11.5,57.66,955.63,38.94,9.44,61.78,114.19,46.26,55.09,52.1,177.46,48.14,36.13,48.14,9.01,0.65345,13.21,25,0.01,0,19.94,120,24.37,0.02,0.01,0,0.01,0,44.58,96.05,10.16,10365.4,63.49,27473.26,69.97,1965.68,0.01,0,0.01,0,0.01,0,0.01,0,25.51,1.61792,42.08,0.31377,22.89,1.0925,37.12,0.58971,60.57,46,56.9,182.9,53.98,184.72,58.17,5.2,60.85,151.22,57.41,29.7,55.91,5.47,52.33,57.71,52.33,95.32,35.72,10.51,42.59,4.63,61.13,16.45,56.16,383.26,55.91,2175.33,58.96,3080.48,26.06,95,22.26,96,28.57,92,43.35,4627.16,55.51,4.2
"Bolivarian Republic of Venezuela","VEN",22.45,19.52,25.82,22.87,12.3,61.16,48.91,16.44,54.14,2.59,55.48,0.45,81.6,50.65,58.04,60.03,65.65,57.03,37.23,48.57,36.19,0.16,31.79,56.82,50.81,50.32,40.78,54.9,36.46,0.45,61.13,72.79,51.42,48.37,63.8,72.12,24.22,0.01,20.37,0.01,80.51,82.71,46.64,54.1,51.5,55.02,61.23,48.39,74.47,61.56,146239.7,62.43,0.45881,57.31,41547.58,45.97,0.13035,62.38,5655.04,54.49,0.01774,54.57,1485.17,40.16,0.00466,42.09,145.34,32.12,0.00046,32.96,8.04,27.27,3e-05,48.81,15668.96,41.81,0.04916,52.02,13485.99,47.17,0.04231,52.26,8724.09,50.17,0.02737,42.56,165262.25,30.7,0.51849,42.91,143354.58,31.01,0.44976,42.56,103301.53,30.38,0.3241,47.28,26501.37,40.58,0.08314,0.01,0,0.01,0,0.01,0,0.01,0,49.76,1118593.07,20.63,3.50945,33.29,26715.06,28.34,0.08382,33.07,3.81,32.25,1e-05,63.65,1368472.53,50.73,4.29342,54.7,72.06,47.2,13.28,48.6,9.45,52.1,12.99,41.31,22476.59,40.25,6343.27,43.35,17.52,69.54,844.63,39.93,93.69,33.29,95.76,0.01,100,19.85,97.1,49.77,89.81,75.09,472.59,65.21,27.4,81.24,94,60.3,60.45,43.84,151.91,52.1,42.1,53.51,12.31,0.67046,73.88,1180911,70.41,4.15,29.88,2558,19.64,0.01,0.01,0,0.01,0,57.66,328.6,60.57,27280.09,66.11,32160.19,41.04,612.55,24.72,3278,16.78,0.012,0.01,0,0.01,0,80.51,-1.50984,80.51,-1.65831,73.35,-1.44548,93.27,-2.32005,39.43,296.18,55.18,206.6,69.12,86.05,42.34,312.55,52.56,60.65,50.46,16.84,49.3,27.82,59.49,42.8,56.78,91.87,83.99,0.03,61.99,0.63,44.09,51.31,51.16,162.81,43.1,1087.96,51.4,1237.24,73.2,54,69.91,62,80.71,28,43.1,4651.08,100,2355.1
"Bosnia and Herzegovina","BIH",2.51,0.34,18.6,14.19,10.32,43.96,52.03,4.94,34.3,2.14,30.46,0.5,56.4,38.98,50.34,46.12,36.58,2.47,0.03,0.01,31.96,0.01,0.17,12.5,42.83,46.9,48.6,75.06,33.48,0.66,44.05,0.61,35.64,37.72,30.03,36.78,26.71,0.01,25.49,0.01,58.97,53.94,43.11,38.29,35.87,41.69,60.79,38.37,55.43,35.33,12030.51,57.48,0.35922,30.44,1610.5,36.43,0.04809,0.01,0,0.01,0,16.16,0.05,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.19,28406.84,37.46,0.84821,26.84,24210.12,37.46,0.7229,27.17,18965.13,39.79,0.56628,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.18,252913.78,73.39,7.55182,0.01,0,0.01,0,0.01,0,0.01,0,12.5,25.96,12.5,0.00078,38.87,77.61,47.2,13.28,46.37,9.8,47.44,13.8,45.54,15663.71,51.86,2117.21,69.97,364.37,80.51,1352.21,33.39,96.11,33.58,95.39,0.01,100,43.37,46.3,40.51,225.96,47.9,1137.69,0.01,2.5,37.77,133,32.45,47.98,39.15,141.96,20.45,21.5,68.32,26.52,0.64014,34.04,13199,39.75,0.4,25.96,900,27.49,0.03,0.01,0,0.01,0,12.55,4.02,46.26,21753.86,35.89,626.46,41.31,616.76,24.39,3151.8,26.63,0.096,0.01,0,0.01,0,57.92,-0.61315,60.03,-0.63428,57.92,-0.40044,50.23,-0.23354,46.49,213.71,39.97,573.3,38.87,355.48,37.72,800.76,35.24,8.64,36.51,5.8,40.25,270.07,34.24,95.85,52.56,95.14,79.01,0.05,57.66,0.86,49.3,37.92,26.09,6.18,60.85,2673.8,35.57,188.21,59.21,73,59.69,73,48.2,76,49.07,3140.03,27.27,0.6
"Botswana","BWA",1.44,0.09,23.15,26.37,10.34,45.52,48.85,45.69,56.87,1.75,57.4,0.58,35.42,53.8,50.89,44.24,41.89,0.13,0.01,0.01,20.13,0.01,2.13,0.01,56.42,50.51,44.01,45.41,44.5,40.39,35.22,68.87,81.12,57.92,39.15,20.16,26.36,0.01,33.38,0.01,37.58,33.39,51.91,49.96,60.03,46.41,55.8,61.27,31.95,17.79,175.12,22.38,0.00729,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,19.4,8719.29,25.21,0.36303,17.57,5506.4,21.51,0.22926,17.57,3801.17,20.46,0.15826,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,30.46,181342.85,72.91,7.55031,18.22,1040,22.8,0.0433,0.01,0,0.01,0,0.01,0,0.01,0,60.03,69.74,53.03,12.08,47.67,9.6,53.51,12.8,46.02,15571.81,42.08,5408.6,49.3,69.48,41.83,-15.61,41.86,92.21,47.3,80.03,40.47,70.18,40.31,52.8,58.17,21.4,21.32,1626.41,66.17,29.3,71.69,102,82.72,70.03,79.55,493.83,59.75,53.8,43.22,7.27,0.64945,20.05,1045,20.28,0.04,25.28,800,27.49,0.03,0.01,0,0.01,0,89.84,15007.47,38.3,18472.96,57.41,18006.95,54.94,1105.76,30.83,9095,36.15,0.398,0.01,0,0.01,0,35.57,0.70782,39.7,0.42905,28.68,1.0113,38.87,0.49844,64.43,28.9,41.83,545.7,52.1,201.94,47.9,103.54,59.49,129.91,60.57,36.5,46.26,86.88,55.18,51.73,39.15,102.21,57.07,0.91,56.16,1.01,54.22,26.09,63.49,1597.7,58.17,2427.91,62.28,4963.14,26.06,95,22.26,96,56.24,66,41.83,5389.92,41.96,2
"Brazil","BRA",12.15,6.37,23.19,20.9,12.07,49.44,44.29,11.77,46.68,2.91,56.35,0.74,53.97,44.05,44.99,52.63,51.04,1.56,2.57,42.81,54.88,0.01,67.9,66.82,39.6,44.79,49.01,44.27,28.89,22.13,50.06,0.6,73.34,28.68,48.37,45.31,54.42,0.01,54.21,0.01,52.8,55.16,38.98,45.33,48.36,42.03,48.15,45.32,61.11,29.61,4154.46,19.41,0.00192,16.77,18.47,14.88,1e-05,0.01,0,0.01,0,69.07,7411.65,36.46,0.00343,44.25,195.36,25.56,9e-05,0.01,0,0.01,0,52.49,24326.27,35.25,0.01125,52.7,14595.97,34.94,0.00675,50.86,5991.46,35.51,0.00277,68.57,2180514.91,40.13,1.00878,69.61,1998236.79,42.56,0.92445,71.92,1699725.28,46.62,0.78635,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,85.2,14382083.13,50.5,6.65361,81.32,2023142.61,52.84,0.93597,87.97,257741.41,60.25,0.11924,85.53,11511021.31,52.21,5.32537,44.09,76.18,35.57,15.39,55.42,8,36.2,15.4,46.73,14552.21,51.4,2231.6,41.31,2.38,47.44,20.11,21.11,99.32,39.55,90.08,21.79,99.8,22.48,95.9,43.84,155.96,57.16,957.17,0.01,2.5,36.08,134,76.4,67.89,70.41,308.21,41.57,29.71,56.41,13.76,0.65612,61.08,425521,33.61,0.2,64.48,357307,45.93,0.17,0.01,0,0.01,0,59.49,411.39,64.76,30325.26,50.46,10851.13,51.86,936.68,71.04,2044688.6,41.36,0.968,0.01,0,0.01,0,52.8,-0.334,52.8,-0.18674,61.13,-0.54648,49.77,-0.1809,45.78,231.1,33.19,740.1,48.84,234.33,42.08,391.13,49.3,48.35,47.44,14.4,43.84,164.44,52.8,56.71,32.07,107.12,60.96,0.63,44.33,3.76,41.31,55.14,50.7,149.49,35.89,653.1,51.16,1233.27,55.5,77,57.18,74,71.9,44,51.4,2437.71,50.68,3.2
